,curb-weight,engine-size,horsepower,city_highway_mpg,wheel-base,size,engine-location_rear,drive-wheels_fwd,drive-wheels_rwd,price
42,2337,111,78,26.5,94.3,10549.259999999998,0,0,1,6785
43,2734,119,90,26.5,96.0,11253.52,0,0,1,11048
44,4066,258,176,17.0,113.0,13892.159999999998,0,0,1,32250
45,4066,258,176,17.0,113.0,13892.159999999998,0,0,1,35550
46,3950,326,262,15.0,102.0,13534.019999999999,0,0,1,36000
47,1890,91,68,30.5,93.1,10214.22,0,1,0,5195
48,1900,91,68,34.5,93.1,10214.22,0,1,0,6095
49,1905,91,68,34.5,93.1,10214.22,0,1,0,6795
50,1945,91,68,34.5,93.1,10708.560000000001,0,1,0,6695
51,1950,91,68,34.5,93.1,10708.560000000001,0,1,0,7395
52,2380,70,101,20.0,95.3,11103.300000000001,0,0,1,10945
53,2380,70,101,20.0,95.3,11103.300000000001,0,0,1,11845
54,2385,70,101,20.0,95.3,11103.300000000001,0,0,1,13645
55,2500,80,135,19.5,95.3,11103.300000000001,0,0,1,15645
56,2385,122,84,29.0,98.8,11823.7,0,1,0,8845
57,2410,122,84,29.0,98.8,11823.7,0,1,0,8495
58,2385,122,84,29.0,98.8,11823.7,0,1,0,10595
59,2410,122,84,29.0,98.8,11823.7,0,1,0,10245
60,2443,122,64,39.0,98.8,11823.7,0,1,0,10795
61,2425,122,84,29.0,98.8,11823.7,0,1,0,11245
62,2670,140,120,23.0,104.9,11567.499999999998,0,0,1,18280
63,2700,134,72,35.0,104.9,11567.499999999998,0,0,1,18344
64,3515,183,123,23.5,110.0,13420.27,0,0,1,25552
65,3750,183,123,23.5,110.0,13420.27,0,0,1,28248
66,3495,183,123,23.5,106.7,13181.25,0,0,1,28176
67,3770,183,123,23.5,115.6,14526.42,0,0,1,31600
68,3740,234,155,17.0,115.6,14526.42,0,0,1,34184
69,3685,234,155,17.0,96.6,12711.150000000001,0,0,1,35056
70,3900,308,184,15.0,120.9,14920.77,0,0,1,40960
71,3715,304,184,15.0,112.0,14342.4,0,0,1,45400
72,2910,140,175,21.5,102.7,12131.2,0,0,1,16503
73,1918,92,68,39.0,93.7,10130.12,0,1,0,5389
74,1944,92,68,34.5,93.7,10130.12,0,1,0,6189
75,2004,92,68,34.5,93.7,10130.12,0,1,0,6669
76,2145,98,102,27.0,93.0,10035.74,0,1,0,7689
77,2370,110,116,26.5,96.3,11314.2,0,1,0,9959
78,2328,122,88,28.5,96.3,11314.2,0,1,0,8499
79,2833,156,145,21.5,95.9,11483.159999999998,0,1,0,12629
80,2921,156,145,21.5,95.9,11483.159999999998,0,1,0,14869
81,2926,156,145,21.5,95.9,11483.159999999998,0,1,0,14489
82,2365,122,88,28.5,96.3,11274.960000000001,0,1,0,6989
83,2405,122,88,28.5,96.3,11274.960000000001,0,1,0,8189
84,2403,110,116,26.5,96.3,11274.960000000001,0,1,0,9279
85,2403,110,116,26.5,96.3,11274.960000000001,0,1,0,9279
86,1889,97,69,34.0,94.5,10546.14,0,1,0,5499
87,2017,103,55,47.5,94.5,10546.14,0,1,0,7099
88,1918,97,69,34.0,94.5,10546.14,0,1,0,6649
89,1938,97,69,34.0,94.5,10546.14,0,1,0,6849
90,2024,97,69,34.0,94.5,10858.759999999998,0,1,0,7349
91,1951,97,69,34.0,94.5,10546.14,0,1,0,7299
92,2028,97,69,34.0,94.5,10565.279999999999,0,1,0,7799
93,1971,97,69,34.0,94.5,10546.14,0,1,0,7499
94,2037,97,69,34.0,94.5,10858.759999999998,0,1,0,7999
95,2008,97,69,34.0,95.1,10361.12,0,1,0,8249
96,2324,120,97,30.5,97.2,11305.68,0,1,0,8949
97,2302,120,97,30.5,97.2,11305.68,0,1,0,9549
98,3095,181,152,19.5,100.4,12083.05,0,1,0,13499
99,3296,181,152,19.5,100.4,12275.9,0,1,0,14399
100,3060,181,152,22.0,100.4,12275.9,0,1,0,13499
101,3071,181,160,22.0,91.3,11590.53,0,0,1,17199
102,3139,181,200,20.0,91.3,11590.53,0,0,1,19699
103,3139,181,160,22.0,99.2,12120.150000000001,0,0,1,18399
104,3020,120,97,21.5,107.9,12770.28,0,0,1,11900
105,3197,152,95,30.5,107.9,12770.28,0,0,1,13200
106,3230,120,97,21.5,114.2,13604.760000000002,0,0,1,12440
107,3430,152,95,25.0,114.2,13604.760000000002,0,0,1,13860
108,3075,120,95,21.5,107.9,12770.28,0,0,1,15580
109,3252,152,95,30.5,107.9,12770.28,0,0,1,16900
110,3285,120,95,21.5,114.2,13604.760000000002,0,0,1,16695
111,3485,152,95,25.0,114.2,13604.760000000002,0,0,1,17075
112,3075,120,97,21.5,107.9,12770.28,0,0,1,16630
113,3252,152,95,30.5,107.9,12770.28,0,0,1,17950
114,3130,134,142,21.0,108.0,12751.609999999999,0,0,1,18150
115,1918,90,68,39.0,93.7,10035.74,0,1,0,5572
116,2128,98,102,27.0,93.7,10035.74,0,1,0,7957
117,1967,90,68,34.5,93.7,10035.74,0,1,0,6229
118,1989,90,68,34.5,93.7,10673.74,0,1,0,6692
119,2191,98,68,34.5,93.7,10673.74,0,1,0,7609
120,2535,122,88,27.0,103.3,11279.159999999998,0,1,0,8921
121,2818,156,145,21.5,95.9,11483.159999999998,0,0,1,12764
122,2778,151,143,23.0,94.5,11535.87,0,0,1,22018
123,2756,194,207,21.0,89.5,10978.5,1,0,1,32528
124,2756,194,207,21.0,89.5,10978.5,1,0,1,34028
125,2800,194,207,21.0,89.5,10978.5,1,0,1,37028
126,2579,132,104,27.0,96.1,12069.75,0,1,0,9295
127,2460,132,104,27.0,96.1,11774.88,0,1,0,9895
128,2658,121,110,24.5,99.1,12408.9,0,1,0,11850
129,2695,121,110,24.5,99.1,12408.9,0,1,0,12170
130,2707,121,110,24.5,99.1,12408.9,0,1,0,15040
131,2758,121,110,24.5,99.1,12408.9,0,1,0,15510
132,2808,121,160,22.5,99.1,12408.9,0,1,0,18150
133,2847,121,160,22.5,99.1,12408.9,0,1,0,18620
134,2050,97,69,33.5,93.7,9947.460000000001,0,1,0,5118
135,2120,108,73,28.5,93.7,10042.44,0,1,0,7053
136,2240,108,73,28.5,93.3,10035.74,0,0,0,7603
137,2145,108,82,34.5,97.2,11248.800000000001,0,1,0,7126
138,2190,108,82,30.5,97.2,11248.800000000001,0,1,0,7775
139,2340,108,94,29.0,97.2,11248.800000000001,0,1,0,9960
140,2385,108,82,24.5,97.0,11248.800000000001,0,0,0,9233
141,2510,108,111,26.5,97.0,11248.800000000001,0,0,0,11259
142,2290,108,82,30.0,97.0,11346.900000000001,0,1,0,7463
143,2455,108,94,28.0,97.0,11346.900000000001,0,1,0,10198
144,2420,108,82,26.0,96.9,11353.44,0,0,0,8013
145,2650,108,111,23.0,96.9,11353.44,0,0,0,11694
146,1985,92,62,37.0,95.7,10093.32,0,1,0,5348
147,2040,92,62,34.5,95.7,10093.32,0,1,0,6338
148,2015,92,62,34.5,95.7,10093.32,0,1,0,6488
149,2280,92,62,34.0,95.7,10792.92,0,1,0,6918
150,2290,92,62,29.5,95.7,10792.92,0,0,0,7898
151,3110,92,62,29.5,95.7,10792.92,0,0,0,8778
152,2081,98,70,33.5,95.7,10709.720000000001,0,1,0,6938
153,2109,98,70,33.5,95.7,10709.720000000001,0,1,0,7198
154,2275,110,56,35.0,95.7,10709.720000000001,0,1,0,7898
155,2275,110,56,42.5,95.7,10709.720000000001,0,1,0,7788
156,2094,98,70,42.5,95.7,10709.720000000001,0,1,0,7738
157,2122,98,70,31.0,95.7,10709.720000000001,0,1,0,8358
158,2140,98,70,31.0,95.7,10709.720000000001,0,1,0,9258
159,2169,98,70,31.5,94.5,10796.8,0,0,1,8058
160,2204,98,70,31.5,94.5,10796.8,0,0,1,8238
161,2265,98,112,27.5,94.5,10796.8,0,0,1,9298
162,2300,98,112,27.5,94.5,10796.8,0,0,1,9538
163,2540,146,116,27.0,98.4,11558.719999999998,0,0,1,8449
164,2536,146,116,27.0,98.4,11558.719999999998,0,0,1,9639
165,2551,146,116,27.0,98.4,11558.719999999998,0,0,1,9989
166,2679,146,116,27.0,98.4,11558.719999999998,0,0,1,11199
167,2714,146,116,27.0,98.4,11558.719999999998,0,0,1,11549
168,2975,146,116,27.0,98.4,11558.719999999998,0,0,1,17669
169,2326,122,92,31.5,102.4,11677.4,0,1,0,8948
170,2480,110,73,31.5,102.4,11677.4,0,1,0,10698
171,2414,122,92,29.5,102.4,11677.4,0,1,0,9988
172,2414,122,92,29.5,102.4,11677.4,0,1,0,10898
173,2458,122,92,29.5,102.4,11677.4,0,1,0,11248
174,2976,171,161,22.0,102.9,12422.95,0,0,1,16558
175,3016,171,161,21.5,102.9,12422.95,0,0,1,15998
176,3131,171,156,22.0,104.5,12488.7,0,0,1,15690
177,3151,161,156,21.5,104.5,12488.7,0,0,1,15750
178,2261,97,52,41.5,97.3,11246.349999999999,0,1,0,7775
179,2209,109,85,30.5,97.3,11246.349999999999,0,1,0,7975
180,2264,97,52,41.5,97.3,11246.349999999999,0,1,0,7995
181,2212,109,85,30.5,97.3,11246.349999999999,0,1,0,8195
182,2275,109,85,30.5,97.3,11246.349999999999,0,1,0,8495
183,2319,97,68,39.5,97.3,11246.349999999999,0,1,0,9495
184,2300,109,100,29.0,97.3,11246.349999999999,0,1,0,9995
185,2254,109,90,26.5,94.5,10227.060000000001,0,1,0,11595
186,2221,109,90,26.5,94.5,10604.8,0,1,0,9980
187,2661,136,110,21.5,100.4,12055.380000000001,0,1,0,13295
188,2579,97,68,35.5,100.4,12055.380000000001,0,1,0,13845
189,2563,109,88,28.0,100.4,12249.390000000001,0,1,0,12290
190,2912,141,114,25.5,104.3,12687.36,0,0,1,12940
191,3034,141,114,25.5,104.3,12687.36,0,0,1,13415
192,2935,141,114,26.0,104.3,12687.36,0,0,1,15985
193,3042,141,114,26.0,104.3,12687.36,0,0,1,16515
194,3045,130,162,19.5,104.3,12687.36,0,0,1,18420
195,3157,130,162,19.5,104.3,12687.36,0,0,1,18950
196,2952,141,114,25.5,109.1,13008.320000000002,0,0,1,16845
197,3049,141,160,22.0,109.1,12989.44,0,0,1,19045
198,3012,173,134,20.5,109.1,13008.320000000002,0,0,1,21485
199,3217,145,106,26.5,109.1,13008.320000000002,0,0,1,22470
200,3062,141,114,22.0,109.1,13008.320000000002,0,0,1,22625
